prod_id,qty,discount,user_id,member_flag,txn_id,start_txn_time,date_start_txn,time_start_txn
c4a632,4,17,924,t,54f307,13-02-2021 01:59,13-02-2021,01:59
5d267b,4,17,21,t,54f307,13-02-2021 01:59,13-02-2021,01:59
b9a74d,4,17,558,t,54f307,13-02-2021 01:59,13-02-2021,01:59
2feb6b,2,17,800,t,54f307,13-02-2021 01:59,13-02-2021,01:59
c4a632,5,21,307,t,26cc98,19-01-2021 01:39,19-01-2021,01:39
e31d39,2,21,1545,t,26cc98,19-01-2021 01:39,19-01-2021,01:39
72f5d4,3,21,1194,t,26cc98,19-01-2021 01:39,19-01-2021,01:39
2a2353,3,21,324,t,26cc98,19-01-2021 01:39,19-01-2021,01:39
f084eb,3,21,840,t,26cc98,19-01-2021 01:39,19-01-2021,01:39
c4a632,1,21,556,f,ef648d,27-01-2021 02:18,27-01-2021,02:18
e83aa3,5,21,365,f,ef648d,27-01-2021 02:18,27-01-2021,02:18
d5e9a6,1,21,839,f,ef648d,27-01-2021 02:18,27-01-2021,02:18
72f5d4,1,21,1051,f,ef648d,27-01-2021 02:18,27-01-2021,02:18
5d267b,3,21,1679,f,ef648d,27-01-2021 02:18,27-01-2021,02:18
f084eb,4,21,1152,f,ef648d,27-01-2021 02:18,27-01-2021,02:18
b9a74d,4,21,779,f,ef648d,27-01-2021 02:18,27-01-2021,02:18
c4a632,2,23,382,t,fba96f,03-03-2021 00:32,03-03-2021,00:32
e31d39,5,23,1430,t,fba96f,03-03-2021 00:32,03-03-2021,00:32
9ec847,3,23,1242,t,fba96f,03-03-2021 00:32,03-03-2021,00:32
f084eb,4,23,1344,t,fba96f,03-03-2021 00:32,03-03-2021,00:32
2feb6b,2,23,649,t,fba96f,03-03-2021 00:32,03-03-2021,00:32
c4a632,5,11,683,t,4e9268,23-01-2021 14:18,23-01-2021,14:18
e31d39,4,11,1134,t,4e9268,23-01-2021 14:18,23-01-2021,14:18
72f5d4,5,11,1667,t,4e9268,23-01-2021 14:18,23-01-2021,14:18
f084eb,2,11,216,t,4e9268,23-01-2021 14:18,23-01-2021,14:18
b9a74d,2,11,253,t,4e9268,23-01-2021 14:18,23-01-2021,14:18
e83aa3,4,4,996,t,9717d4,29-01-2021 07:22,29-01-2021,07:22
d5e9a6,2,4,159,t,9717d4,29-01-2021 07:22,29-01-2021,07:22
c8d436,4,4,892,t,9717d4,29-01-2021 07:22,29-01-2021,07:22
2a2353,1,4,1439,t,9717d4,29-01-2021 07:22,29-01-2021,07:22
f084eb,1,4,148,t,9717d4,29-01-2021 07:22,29-01-2021,07:22
72f5d4,3,14,626,f,e9a1dd,28-03-2021 20:01,28-03-2021,20:01
9ec847,3,14,1063,f,e9a1dd,28-03-2021 20:01,28-03-2021,20:01
2a2353,4,14,551,f,e9a1dd,28-03-2021 20:01,28-03-2021,20:01
f084eb,2,14,158,f,e9a1dd,28-03-2021 20:01,28-03-2021,20:01
c4a632,3,6,1416,f,003ea6,20-01-2021 14:21,20-01-2021,14:21
e31d39,3,6,1202,f,003ea6,20-01-2021 14:21,20-01-2021,14:21
d5e9a6,3,6,613,f,003ea6,20-01-2021 14:21,20-01-2021,14:21
9ec847,3,6,1551,f,003ea6,20-01-2021 14:21,20-01-2021,14:21
e31d39,5,20,526,f,5d749c,28-03-2021 22:24,28-03-2021,22:24
d5e9a6,4,20,175,f,5d749c,28-03-2021 22:24,28-03-2021,22:24
5d267b,5,20,313,f,5d749c,28-03-2021 22:24,28-03-2021,22:24
2a2353,4,20,210,f,5d749c,28-03-2021 22:24,28-03-2021,22:24
f084eb,2,20,1061,f,5d749c,28-03-2021 22:24,28-03-2021,22:24
d5e9a6,5,14,876,f,cf6517,21-02-2021 21:45,21-02-2021,21:45
72f5d4,1,14,250,f,cf6517,21-02-2021 21:45,21-02-2021,21:45
5d267b,5,14,364,f,cf6517,21-02-2021 21:45,21-02-2021,21:45
b9a74d,3,14,410,f,cf6517,21-02-2021 21:45,21-02-2021,21:45
